time,asset1_antenna_data
0,0
12.5,10000
132.5,10000
252.5,10000
372.5,10000
492.5,10000
612.5,10000
732.5,10000
852.5,10000
972.5,10000
1092.5,10000
1212.5,10000
1332.5,10000
1452.5,10000
1572.5,10000
1692.5,10000
1812.5,10000
1932.5,10000
2052.5,10000
2172.5,10000
2292.5,10000
2412.5,10000
2532.5,10000
2652.5,10000
2772.5,10000
2892.5,10000
3012.5,10000
3132.5,10000
3252.5,10000
3372.5,10000
3492.5,10000
3612.5,10000
3732.5,10000
3852.5,10000
3972.5,10000
4092.5,10000
4212.5,10000
4332.5,10000
4452.5,10000
4572.5,10000
4692.5,10000
4812.5,10000
4932.5,10000
5052.5,10000
5172.5,10000
5292.5,10000
5412.5,10000
5532.5,10000
5652.5,10000
5772.5,10000
5892.5,10000
6012.5,10000
6132.5,10000
6252.5,10000
6372.5,10000
6492.5,10000
6612.5,10000
6732.5,10000
6852.5,10000
6972.5,10000
7092.5,10000
7212.5,10000
7332.5,10000
7452.5,10000
7572.5,10000
7692.5,10000
7812.5,10000
7932.5,10000
8052.5,10000
8172.5,10000
8292.5,10000
8412.5,10000
8532.5,10000
8652.5,10000
8772.5,10000
8892.5,10000
