time,asset1_eci_pointing_vector_xyz_
0,[0; 0; 0]
10,[-1602.98486305388; -2309.16007580869; 1466.05954835157]
70,[-1575.43490413741; -2644.77279725007; 1213.35434182281]
130,[-1516.29582038824; -2978.2717974664; 962.099360991318]
190,[-1274.16923852478; 74.4356589733206; 1104.57915031854]
250,[-2299.31440412231; 2425.55196113241; 311.568206779548]
310,[-2235.77927307807; 1825.54115572148; 795.914038017776]
370,[-2591.50805305657; 2110.80081321658; 461.491313543507]
430,[-2731.35017829839; 1633.99250514219; 1023.43979012381]
490,[-2555.4995054352; 1327.07810325916; 796.387996135345]
550,[-2352.4692340193; 1032.44708022329; 577.992872945774]
610,[-2994.2393819874; 127.082767042642; 1885.78516183516]
670,[-3041.71517642733; 1519.55380486504; -269.171753703547]
730,[-2476.06543976512; -410.247458313031; 1490.87584949717]
790,[-2504.77721464133; 1002.68726418052; -647.77119019754]
850,[-1035.69511436531; -260.152685340467; -386.71212503889]
910,[-1564.52729958637; -1114.53753272529; 970.089439323116]
970,[-1557.59457128985; 348.073374902823; -1130.63393007649]
1030,[-1212.44347638342; 162.024352211669; -1268.93029449029]
1090,[-501.48685430841; -1660.71797569968; 560.452147261238]
1150,[-120.453767213289; -1803.72154169575; 451.352587627327]
1210,[1096.58603841398; -1282.52989607384; -1172.2409647049]
1270,[669.431022851248; -2036.30548988331; 270.709552619455]
1330,[696.158673076058; -474.48782466198; -1753.66408743589]
1390,[2311.22474952217; -1524.99820840005; -1376.05914730726]
1450,[1909.40084854302; -2229.9861830883; 108.788338001176]
1510,[2330.77553003755; -2258.87460562284; 79.8927934676849]
1570,[2346.12129748031; -611.298635529704; -1879.39686472199]
1630,[2762.61361249209; -594.272972480558; -1874.77812510085]
1690,[-1709.89307647368; -660.559110318051; -1812.13337000669]
1750,[2602.94957368416; -243.653586911529; -1639.86173659031]
1810,[-887.858862929521; -562.482044122069; -1727.75242598126]
1870,[-487.398633942904; -474.164229263033; -1657.95130647795]
1930,[-92.2327996810632; -373.140282879637; -1579.18212939861]
1990,[294.128017819663; -250.995742032414; -1485.55317749729]
2050,[-1832.29049169892; -2943.47214773535; -949.033842003938]
2110,[-512.322552014984; -471.348653539104; -3235.84507519153]
2170,[-163.915188672649; -292.501121262765; -3097.56386654727]
2230,[-924.516871640417; -1419.88656736125; -2945.35752573318]
2290,[-595.992147550171; -1216.93364408216; -2786.71207488882]
2350,[-288.094307852662; -994.989318909019; -2614.7236589361]
2410,[10.036713339503; -764.26613298787; -2436.5434943268]
2470,[277.340869922154; -510.299122332005; -2242.04342145812]
2530,[531.527176575351; -248.27488582601; -2041.85753157334]
2590,[763.909390129807; 27.1417280652699; -1832.25043092782]
2650,[969.728270122932; 315.694424471064; -1613.40189994386]
2710,[302.298156285784; -2803.8555680416; -2131.26474998782]
2770,[472.721504109883; -2498.2995148389; -1897.810344708]
2830,[627.711506906301; -2188.15765248801; -1661.14824271733]
2890,[757.04889388685; -1870.41980224841; -1419.17109335811]
2950,[856.273896866932; -1546.49036544805; -1172.86262923886]
3010,[1727.23547647574; 2212.31562415323; -183.66858450428]
3070,[1755.86887634519; 2547.38719246636; 68.0478807893894]
3130,[1012.31155326837; -555.841818114279; -420.759373720461]
3190,[1012.34901106918; -222.514688185857; -167.890628629551]
3250,[981.381408381998; 109.456909112617; 84.0230163095596]
3310,[935.935842028814; 440.642401623886; 335.379906196189]
3370,[849.086051468933; 766.563252091655; 583.04376266898]
3430,[1919.15061448813; -1809.38875852809; 2563.89969734906]
3490,[1802.71338838344; -1487.31450380442; 2805.24328350008]
3550,[1657.13091343729; -1173.99472400368; 3040.41031913106]
3610,[426.263554190355; 1384.5187209361; 1061.43634382202]
3670,[219.92787657092; 1674.10314959047; 1283.18805359924]
3730,[447.654622080076; 681.892547307498; 1303.59747924508]
3790,[210.395953283963; 955.032920542046; 1512.41596688888]
3850,[-513.287399476195; 2482.09271199995; 1905.79007707503]
3910,[-328.931856749191; 1460.43798078333; 1901.32558389358]
