time,asset1_eosensoron
0,0
10,1
17,0
130,1
135,0
250,1
255,0
370,1
377,0
490,1
497,0
610,1
617,0
730,1
737,0
850,1
857,0
970,1
977,0
1090,1
1097,0
1210,1
1217,0
1330,1
1337,0
1450,1
1457,0
1570,1
1577,0
1690,1
1697,0
1810,1
1817,0
1930,1
1937,0
2050,1
2057,0
2170,1
2177,0
2290,1
2297,0
2410,1
2417,0
2530,1
2537,0
2650,1
2657,0
2770,1
2777,0
2890,1
2897,0
3010,1
3017,0
3130,1
3137,0
3250,1
3257,0
3370,1
3377,0
3490,1
3497,0
3610,1
3617,0
3730,1
3737,0
3850,1
3857,0
3970,1
3975,0
4090,1
4097,0
4210,1
4217,0
4330,1
4337,0
4450,1
4457,0
4570,1
4577,0
4690,1
4697,0
4810,1
4817,0
4930,1
4937,0
5050,1
5057,0
5170,1
5177,0
5290,1
5297,0
5410,1
5417,0
5530,1
5537,0
5650,1
5657,0
5770,1
5777,0
5890,1
5897,0
6010,1
6017,0
6130,1
6137,0
6250,1
6257,0
6370,1
6377,0
6490,1
6497,0
6610,1
6617,0
6730,1
6737,0
6850,1
6857,0
6970,1
6977,0
7090,1
7097,0
7210,1
7217,0
7330,1
7337,0
7450,1
7457,0
7570,1
7577,0
7690,1
7697,0
7810,1
7817,0
7930,1
7937,0
8050,1
8057,0
8170,1
8177,0
8290,1
8297,0
8410,1
8417,0
8530,1
8537,0
8650,1
8657,0
8770,1
8777,0
8890,1
8897,0
