time,asset1_antincidenceang
25,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
85,[90; 90; 90; 90]
145,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
205,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
265,[90; 90; 90; 90]
325,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
385,[90; 90; 90; 90]
445,[NaN; NaN; NaN; NaN]
505,[90; 90; 90; 90]
565,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
625,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
685,[90; 90; 90; 90]
745,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
805,[90; 90; 90; 90]
865,[NaN; NaN; NaN; NaN]
925,[90; 90; 90; 90]
985,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
1045,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
1105,[90; 90; 90; 90]
1165,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
1225,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
1285,[90; 90; 90; 90]
1345,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
1405,[90; 90; 90; 90]
1465,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
1525,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
1585,[90; 90; 90; 90]
1645,[90; 90; 90; 90]
1705,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
1765,[90; 90; 90; 90]
1825,[90; 90; 90; 90]
1885,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
1945,[90; 90; 90; 90]
2005,[90; 90; 90; 90]
2065,[90; 90; 90; 90]
2125,[90; 90; 90; 90]
2185,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
2245,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
2305,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
2365,[90; 90; 90; 90]
2425,[90; 90; 90; 90]
2485,[NaN; NaN; NaN; NaN]
2545,[90; 90; 90; 90]
2605,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
2665,[90; 90; 90; 90]
2725,[90; 90; 90; 90]
2785,[90; 90; 90; 90]
2845,[NaN; NaN; NaN; NaN]
2905,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
2965,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
3025,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
3085,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
3145,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
3205,[NaN; NaN; NaN; NaN]
3265,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
3325,[90; 90; 90; 90]
3385,[89.9999987925817; 89.9999987925817; 89.9999987925817; 89.9999987925817]
3445,[90; 90; 90; 90]
3505,[NaN; NaN; NaN; NaN]
3565,[90; 90; 90; 90]
3625,[90; 90; 90; 90]
3685,[90; 90; 90; 90]
3745,[NaN; NaN; NaN; NaN]
3805,[90; 90; 90; 90]
3865,[90; 90; 90; 90]
3925,[89.9999991462264; 89.9999991462264; 89.9999991462264; 89.9999991462264]
