time,asset1_numpixels
0,0
13.5,15000
14.5,0
73.5,15000
74.5,0
133.5,15000
134.5,0
192.5,10000
193.5,0
252.5,10000
253.5,0
312.5,10000
313.5,0
373.5,15000
374.5,0
433.5,15000
434.5,0
493.5,15000
494.5,0
553.5,15000
554.5,0
613.5,15000
614.5,0
673.5,15000
674.5,0
733.5,15000
734.5,0
793.5,15000
794.5,0
853.5,15000
854.5,0
913.5,15000
914.5,0
973.5,15000
974.5,0
1033.5,15000
1034.5,0
1093.5,15000
1094.5,0
1153.5,15000
1154.5,0
1213.5,15000
1214.5,0
1273.5,15000
1274.5,0
1333.5,15000
1334.5,0
1393.5,15000
1394.5,0
1453.5,15000
1454.5,0
1513.5,15000
1514.5,0
1573.5,15000
1574.5,0
1633.5,15000
1634.5,0
1693.5,15000
1694.5,0
1753.5,15000
1754.5,0
1813.5,15000
1814.5,0
1873.5,15000
1874.5,0
1933.5,15000
1934.5,0
1993.5,15000
1994.5,0
2053.5,15000
2054.5,0
2113.5,15000
2114.5,0
2173.5,15000
2174.5,0
2233.5,15000
2234.5,0
2293.5,15000
2294.5,0
2353.5,15000
2354.5,0
2413.5,15000
2414.5,0
2473.5,15000
2474.5,0
2533.5,15000
2534.5,0
2593.5,15000
2594.5,0
2653.5,15000
2654.5,0
2713.5,15000
2714.5,0
2773.5,15000
2774.5,0
2833.5,15000
2834.5,0
2893.5,15000
2894.5,0
2953.5,15000
2954.5,0
3013.5,15000
3014.5,0
3073.5,15000
3074.5,0
3133.5,15000
3134.5,0
3193.5,15000
3194.5,0
3253.5,15000
3254.5,0
3313.5,15000
3314.5,0
3373.5,15000
3374.5,0
3433.5,15000
3434.5,0
3493.5,15000
3494.5,0
3553.5,15000
3554.5,0
3613.5,15000
3614.5,0
3673.5,15000
3674.5,0
3733.5,15000
3734.5,0
3793.5,15000
3794.5,0
3853.5,15000
3854.5,0
3913.5,15000
3914.5,0
