time,asset1_positiondiff
25,7377.89593080954
85,7373.86850306025
145,7377.28075784581
205,7373.02620949078
265,7372.15159715066
325,7374.65721654855
385,7376.11597415961
445,7368.99078029222
505,7374.08351862694
565,7370.81554809454
625,7370.05274989834
685,7375.57446910401
745,7368.95393416212
805,7374.04577953072
865,7370.7685946412
925,7369.99450251862
985,7375.50435666244
1045,7368.87687482451
1105,7373.96465252817
1165,7370.69068058223
1225,7369.91220839892
1285,7375.41396429296
1345,7368.7743615815
1405,7373.85281706769
1465,7370.57340108673
1525,7369.79543855089
1585,7375.30105889767
1645,7368.65491807514
1705,7373.72598797186
1765,7370.43618838988
1825,7369.65244477099
1885,7375.15472166972
1945,7368.51417489321
2005,7373.58828717654
2065,7370.29332504442
2125,7369.50275476812
2185,7374.9980981442
2245,7368.3555689958
2305,7373.43113419225
2365,7370.14500618345
2425,7369.35598615106
2485,7374.84947907799
2545,7368.20109483884
2605,7373.27395857599
2665,7369.98905582337
2725,7369.20740661324
2785,7374.71177822416
2845,7368.06387476899
2905,7373.13649456695
2965,7369.84834561656
3025,7369.0680916748
3085,7374.5762570255
3145,7367.94110087279
3205,7373.02379768859
3265,7369.73746486586
3325,7368.95724647686
3385,7374.46511548221
3445,7367.83461380428
3505,7372.92505521102
3565,7369.6537644471
3625,7369.10255014583
3685,7375.02207371655
3745,7368.18074361985
3805,7372.00151157257
3865,7370.7738742259
3925,7368.49379050335
