time,asset1_slewangle
25,[0.323678005751442]
85,[0.20111791265089]
145,[0.0871673282997819]
205,[2.08848143152984]
265,[2.38075675405068]
325,[2.81225759196426]
385,[2.59972942183291]
445,[3.02362719138263]
505,[2.9755567101858]
565,[2.90668009730663]
625,[2.29021822702931]
685,[2.47306106975364]
745,[2.1507144076109]
805,[2.3500923107438]
865,[2.05854711420176]
925,[1.78629922609586]
985,[1.99299391016896]
1045,[1.80561392717958]
1105,[1.17908864069028]
1165,[0.954297526965211]
1225,[0.339174192621947]
1285,[0.562509006241671]
1345,[0.647137055825322]
1405,[0.0578976857362193]
1465,[0.164772041727419]
1525,[0.0712079603988836]
1585,[0.142506053824166]
1645,[0.0610537768030625]
1705,[2.32562259637055]
1765,[0.143043892230808]
1825,[2.08501550272314]
1885,[1.91283788325974]
1945,[1.69819508044716]
2005,[1.44699464393411]
2065,[2.54512278468871]
2125,[1.5167323871348]
2185,[1.40934444788993]
2245,[2.23696933174611]
2305,[2.16840205422721]
2365,[2.08314482272731]
2425,[1.97748040017327]
2485,[1.84800668403295]
2545,[1.69161995756237]
2605,[1.50819343840328]
2665,[1.30334179878678]
2725,[3.12835360914431]
2785,[3.09063161630032]
2845,[3.01558417282819]
2905,[2.9283102023461]
2965,[2.82474833699306]
3025,[0.262348262621464]
3085,[0.156875807348088]
3145,[2.27251774960247]
3205,[1.93813563237877]
3265,[1.52976205368728]
3325,[1.13518805684593]
3385,[0.821224024787297]
3445,[0.322751018572755]
3505,[0.208821658464729]
3565,[0.0944009069427598]
3625,[0.455528147179925]
3685,[0.319777513964063]
3745,[0.548266444354591]
3805,[0.353513409122074]
3865,[0.0533106207345098]
3925,[0.0842582332525533]
