time,asset1_solarpanelpowerin
0,0
120,0
240,150
360,150
480,150
600,150
720,150
840,150
960,150
1080,150
1200,150
1320,150
1440,150
1560,150
1680,150
1800,150
1920,150
2040,150
2160,150
2280,150
2400,150
2520,150
2640,150
2760,150
2880,150
3000,150
3120,150
3240,150
3360,150
3480,150
3600,150
3720,150
3840,150
3960,150
4080,150
4200,150
4320,150
4325,75
4335,0
4440,0
4560,0
4680,0
4800,0
4920,0
5040,0
5160,0
5280,0
5400,0
5520,0
5640,0
5760,0
5880,0
6000,0
6120,0
6240,0
6360,0
6480,150
6600,150
6720,150
6840,150
6960,150
7080,150
7200,150
7320,150
7440,150
7560,150
7680,150
7800,150
7920,150
8040,150
8160,150
8280,150
8400,150
8520,150
8640,150
8760,150
8775,150
8880,150
8895,150
