time,asset1_databufferfillratio
0,0
14,0.006
44,0.012
74,0.018
104,0.024
134,0.03
164,0.036
193,0.04
223,0.044
253,0.048
283,0.052
313,0.056
344,0.062
374,0.068
404,0.074
434,0.08
464,0.086
494,0.092
524,0.098
554,0.104
584,0.11
614,0.116
644,0.122
674,0.128
704,0.134
734,0.14
764,0.146
794,0.152
824,0.158
854,0.164
884,0.17
914,0.176
944,0.182
974,0.188
1004,0.194
1034,0.2
1064,0.206
1094,0.212
1124,0.218
1154,0.224
1184,0.23
1214,0.236
1244,0.242
1274,0.248
1304,0.254
1334,0.26
1364,0.266
1394,0.272
1424,0.278
1454,0.284
1484,0.29
1514,0.296
1544,0.302
1574,0.308
1604,0.314
1634,0.32
1664,0.326
1694,0.332
1724,0.338
1754,0.344
1784,0.35
1814,0.356
1844,0.362
1874,0.368
1904,0.374
1934,0.38
1964,0.386
1994,0.392
2023,0.396
2054,0.402
2084,0.408
2114,0.414
2144,0.42
2174,0.426
2204,0.432
2234,0.438
2264,0.444
2294,0.45
2324,0.456
2354,0.462
2384,0.468
2414,0.474
2444,0.48
2474,0.486
2504,0.492
2534,0.498
2564,0.504
2594,0.51
2624,0.516
2654,0.522
2684,0.528
2714,0.534
2744,0.54
2774,0.546
2804,0.552
2834,0.558
2864,0.564
2894,0.57
2924,0.576
2954,0.582
2984,0.588
3014,0.594
3044,0.6
3074,0.606
3104,0.612
3134,0.618
3164,0.624
3194,0.63
3224,0.636
3254,0.642
3284,0.648
3314,0.654
3344,0.66
3373,0.664
3403,0.668
3434,0.674
3463,0.678
3494,0.684000000000001
3524,0.690000000000001
3554,0.696000000000001
4032,0.698000000000001
4154,0.355
4180,0.349
4184,0.361
4214,0.367
4244,0.373
4274,0.379
4304,0.385
4334,0.391
4363,0.395
4393,0.399
4424,0.405
4454,0.411
4483,0.415
4514,0.421
4544,0.427
4574,0.433
4604,0.439
4634,0.445
4664,0.451
4693,0.455
4723,0.459
4753,0.463
4784,0.469
4814,0.475
4844,0.481
4874,0.487
4904,0.493
4934,0.499
4964,0.505
4994,0.511
5024,0.517
5054,0.523
5084,0.529
5114,0.535
5144,0.541
5174,0.547
5204,0.553
5234,0.559
5264,0.565
5294,0.571
5324,0.577
5354,0.583
5384,0.589
5414,0.595
5444,0.601
5474,0.607
5504,0.613
5534,0.619
5564,0.625
5594,0.631
5624,0.637
5654,0.643
5683,0.647
5713,0.651
5743,0.655
5773,0.659
5803,0.663
5833,0.667
5864,0.673
5894,0.679
5924,0.685000000000001
5954,0.691000000000001
