time,asset1_eci_pointing_vector_xyz_
0,[0; 0; 0]
10,[-1602.98486305388; -2309.16007580869; 1466.05954835157]
40,[-1592.34948333039; -2477.07731375288; 1339.63305497077]
70,[-1575.43490413741; -2644.77279725007; 1213.35434182281]
100,[-1547.89603545766; -2811.69990334351; 1087.60620084991]
130,[-1516.29582038824; -2978.2717974664; 962.099360991318]
160,[-1484.72334155955; -3144.83318791056; 836.592521132731]
190,[-1274.16923852478; 74.4356589733206; 1104.57915031854]
220,[-1232.40079376458; -89.3857667345965; 980.732080096378]
250,[-2299.31440412231; 2425.55196113241; 311.568206779548]
280,[-2246.0993758251; 2262.81663319959; 190.197514293755]
310,[-1069.33609178925; -573.157973164918; 614.601695971971]
340,[-2660.88644761823; 2270.07663891074; 579.589043216605]
370,[-2711.58922750863; 952.725914443919; 2156.47258460778]
400,[-2814.78894564322; 1789.03438577814; 1138.09612756222]
430,[-2727.67826369964; 1635.57684702246; 1024.54915836656]
460,[-2634.86536104635; 1484.23435072675; 912.497038738929]
490,[-2542.07143518101; 1332.87198911973; 800.444919111297]
520,[-2265.49757079251; 187.195237790193; 1588.67152685613]
550,[-2356.54033970992; 1030.0875042002; 576.340679856033]
580,[-2242.77335095717; 889.37061755686; 471.784506290425]
610,[-2122.11724525291; 752.150220686129; 369.69062705744]
640,[-2001.47989791549; 614.909752125197; 267.596747824455]
670,[-3035.88054804118; 1522.79768749424; -266.900362397884]
700,[-2613.62292170404; -281.836524537986; 1585.43875186556]
730,[-2780.43112230956; 1256.30764260075; -461.87680086119]
760,[-2325.90333251273; -529.554841931627; 1402.69939971259]
790,[-2493.83338163797; 1011.51436545061; -641.590386706503]
820,[-2350.55391437731; 889.07983290821; -731.447179629159]
850,[-1885.1544175562; -894.78012638231; 1133.12902094462]
880,[-2047.76276648062; 659.434910307002; -900.447544585936]
910,[-1553.50743715109; -1102.7245313537; 978.360992790461]
940,[-1385.03304384198; -1204.2099652508; 902.736536670424]
970,[-1553.23141281772; 352.804853223129; -1127.32091294605]
1000,[-1387.83901288722; 664.67439153163; -2586.74053531109]
1030,[-1031.29797901595; -159.772420347454; -802.700343620676]
1060,[156.551088334444; -926.07083849538; -893.876762756991]
1090,[-494.041243165643; -1649.28922216194; 568.454647470869]
1120,[-307.912042537985; -1728.13510094983; 508.756295191649]
1150,[-121.79685014599; -1806.99863363156; 449.057942912429]
1180,[905.400183277953; -1215.64409374408; -1119.68236648006]
1210,[-91.8827540525708; -269.216742819187; -1594.52986504201]
1240,[473.147936471517; -1975.86418593043; 317.458860881824]
1270,[672.533441442808; -2030.15725524107; 275.014593309228]
1300,[495.437392197634; -434.531152193847; -1721.8626677598]
1330,[697.715291007963; -470.125656635068; -1750.60966418365]
1360,[1088.85323401907; -820.071104591089; -1310.97603567907]
1390,[1260.13116891063; -366.399391869178; -2427.89072831509]
1420,[1401.52297864278; -966.609038064748; -1120.46109279281]
1450,[2499.54583231379; -1752.59775421094; -882.734715730819]
1480,[2720.6446820157; -1877.11132286933; -758.642531646048]
1510,[2245.75193924899; -1049.94738039239; -1283.17195674643]
1540,[2290.9079238528; -437.503656778501; -2497.51350246504]
1570,[2142.77354880739; -407.832634262546; -2152.21398503151]
1600,[2651.50434058777; -1014.13285694507; -1176.83027582043]
1630,[2557.61704068317; -393.681582616295; -2148.98012584865]
1660,[2970.24361189449; -564.544967807768; -1857.58641648012]
1690,[2812.15623475261; -1197.33595212664; -474.38897718986]
1720,[3020.80132333667; -1173.86626558523; -460.984436725733]
1750,[3229.43697325469; -1150.41951759228; -447.579896261605]
1780,[2807.23502774691; -202.989407235618; -1613.42738854671]
1810,[3007.95103256408; -154.432295838101; -1581.44722969006]
1840,[3047.50070606667; 23.0803442970973; -1777.04684509461]
1870,[-488.021851098166; -465.264459761826; -1651.71962013842]
1900,[-286.422925834551; -425.314423056369; -1619.73946128177]
1930,[-92.8674883091753; -366.197602732835; -1574.32081192013]
1960,[98.0542769314147; -300.801818324896; -1524.48784063894]
