time,asset1_eosensoron
0,0
10,1
17,0
40,1
47,0
70,1
77,0
100,1
107,0
130,1
137,0
160,1
167,0
190,1
195,0
220,1
225,0
250,1
255,0
280,1
285,0
310,1
315,0
340,1
347,0
370,1
377,0
400,1
407,0
430,1
437,0
460,1
467,0
490,1
497,0
520,1
527,0
550,1
557,0
580,1
587,0
610,1
617,0
640,1
647,0
670,1
677,0
700,1
707,0
730,1
737,0
760,1
767,0
790,1
797,0
820,1
827,0
850,1
857,0
880,1
887,0
910,1
917,0
940,1
947,0
970,1
977,0
1000,1
1007,0
1030,1
1037,0
1060,1
1067,0
1090,1
1097,0
1120,1
1127,0
1150,1
1157,0
1180,1
1187,0
1210,1
1217,0
1240,1
1247,0
1270,1
1277,0
1300,1
1307,0
1330,1
1337,0
1360,1
1367,0
1390,1
1397,0
1420,1
1427,0
1450,1
1457,0
1480,1
1487,0
1510,1
1517,0
1540,1
1547,0
1570,1
1577,0
1600,1
1607,0
1630,1
1637,0
1660,1
1667,0
1690,1
1697,0
1720,1
1727,0
1750,1
1757,0
1780,1
1787,0
1810,1
1817,0
1840,1
1847,0
1870,1
1877,0
1900,1
1907,0
1930,1
1937,0
1960,1
1967,0
1990,1
1997,0
2020,1
2025,0
2050,1
2057,0
2080,1
2087,0
2110,1
2117,0
2140,1
2147,0
2170,1
2177,0
2200,1
2207,0
2230,1
2237,0
2260,1
2267,0
2290,1
2297,0
2320,1
2327,0
2350,1
2357,0
2380,1
2387,0
2410,1
2417,0
2440,1
2447,0
2470,1
2477,0
2500,1
2507,0
2530,1
2537,0
2560,1
2567,0
2590,1
2597,0
2620,1
2627,0
2650,1
2657,0
2680,1
2687,0
2710,1
2717,0
2740,1
2747,0
2770,1
2777,0
2800,1
2807,0
2830,1
2837,0
2860,1
2867,0
2890,1
2897,0
2920,1
2927,0
2950,1
2957,0
2980,1
2987,0
3010,1
3017,0
3040,1
3047,0
3070,1
3077,0
3100,1
3107,0
3130,1
3137,0
3160,1
3167,0
3190,1
3197,0
3220,1
3227,0
3250,1
3257,0
3280,1
3287,0
3310,1
3317,0
3340,1
3347,0
3370,1
3375,0
3400,1
3405,0
3430,1
3437,0
3460,1
3465,0
3490,1
3497,0
3520,1
3527,0
3550,1
3557,0
4030,1
4033,0
4150,1
4157,0
4180,1
4187,0
4210,1
4217,0
4240,1
4247,0
4270,1
4277,0
4300,1
4307,0
4330,1
4337,0
4360,1
4365,0
4390,1
4395,0
4420,1
4427,0
4450,1
4457,0
4480,1
4485,0
4510,1
4517,0
4540,1
4547,0
4570,1
4577,0
4600,1
4607,0
4630,1
4637,0
4660,1
4667,0
4690,1
4695,0
4720,1
4725,0
4750,1
4755,0
4780,1
4787,0
4810,1
4817,0
4840,1
4847,0
4870,1
4877,0
4900,1
4907,0
4930,1
4937,0
4960,1
4967,0
4990,1
4997,0
5020,1
5027,0
5050,1
5057,0
5080,1
5087,0
5110,1
5117,0
5140,1
5147,0
5170,1
5177,0
5200,1
5207,0
5230,1
5237,0
5260,1
5267,0
5290,1
5297,0
5320,1
5327,0
5350,1
5357,0
5380,1
5387,0
5410,1
5417,0
5440,1
5447,0
5470,1
5477,0
5500,1
5507,0
5530,1
5537,0
5560,1
5567,0
5590,1
5597,0
5620,1
5627,0
5650,1
5657,0
5680,1
5685,0
5710,1
5715,0
5740,1
5745,0
5770,1
5775,0
5800,1
5805,0
5830,1
5835,0
5860,1
5867,0
5890,1
5897,0
5920,1
5927,0
5950,1
5957,0
