time,asset1_numpixels
0,0
13.5,15000
14.5,0
43.5,15000
44.5,0
73.5,15000
74.5,0
103.5,15000
104.5,0
133.5,15000
134.5,0
163.5,15000
164.5,0
192.5,10000
193.5,0
222.5,10000
223.5,0
252.5,10000
253.5,0
282.5,10000
283.5,0
312.5,10000
313.5,0
343.5,15000
344.5,0
373.5,15000
374.5,0
403.5,15000
404.5,0
433.5,15000
434.5,0
463.5,15000
464.5,0
493.5,15000
494.5,0
523.5,15000
524.5,0
553.5,15000
554.5,0
583.5,15000
584.5,0
613.5,15000
614.5,0
643.5,15000
644.5,0
673.5,15000
674.5,0
703.5,15000
704.5,0
733.5,15000
734.5,0
763.5,15000
764.5,0
793.5,15000
794.5,0
823.5,15000
824.5,0
853.5,15000
854.5,0
883.5,15000
884.5,0
913.5,15000
914.5,0
943.5,15000
944.5,0
973.5,15000
974.5,0
1003.5,15000
1004.5,0
1033.5,15000
1034.5,0
1063.5,15000
1064.5,0
1093.5,15000
1094.5,0
1123.5,15000
1124.5,0
1153.5,15000
1154.5,0
1183.5,15000
1184.5,0
1213.5,15000
1214.5,0
1243.5,15000
1244.5,0
1273.5,15000
1274.5,0
1303.5,15000
1304.5,0
1333.5,15000
1334.5,0
1363.5,15000
1364.5,0
1393.5,15000
1394.5,0
1423.5,15000
1424.5,0
1453.5,15000
1454.5,0
1483.5,15000
1484.5,0
1513.5,15000
1514.5,0
1543.5,15000
1544.5,0
1573.5,15000
1574.5,0
1603.5,15000
1604.5,0
1633.5,15000
1634.5,0
1663.5,15000
1664.5,0
1693.5,15000
1694.5,0
1723.5,15000
1724.5,0
1753.5,15000
1754.5,0
1783.5,15000
1784.5,0
1813.5,15000
1814.5,0
1843.5,15000
1844.5,0
1873.5,15000
1874.5,0
1903.5,15000
1904.5,0
1933.5,15000
1934.5,0
1963.5,15000
1964.5,0
1993.5,15000
1994.5,0
2022.5,10000
2023.5,0
2053.5,15000
2054.5,0
2083.5,15000
2084.5,0
2113.5,15000
2114.5,0
2143.5,15000
2144.5,0
2173.5,15000
2174.5,0
2203.5,15000
2204.5,0
2233.5,15000
2234.5,0
2263.5,15000
2264.5,0
2293.5,15000
2294.5,0
2323.5,15000
2324.5,0
2353.5,15000
2354.5,0
2383.5,15000
2384.5,0
2413.5,15000
2414.5,0
2443.5,15000
2444.5,0
2473.5,15000
2474.5,0
2503.5,15000
2504.5,0
2533.5,15000
2534.5,0
2563.5,15000
2564.5,0
2593.5,15000
2594.5,0
2623.5,15000
2624.5,0
2653.5,15000
2654.5,0
2683.5,15000
2684.5,0
2713.5,15000
2714.5,0
2743.5,15000
2744.5,0
2773.5,15000
2774.5,0
2803.5,15000
2804.5,0
2833.5,15000
2834.5,0
2863.5,15000
2864.5,0
2893.5,15000
2894.5,0
2923.5,15000
2924.5,0
2953.5,15000
2954.5,0
2983.5,15000
2984.5,0
3013.5,15000
3014.5,0
3043.5,15000
3044.5,0
3073.5,15000
3074.5,0
3103.5,15000
3104.5,0
3133.5,15000
3134.5,0
3163.5,15000
3164.5,0
3193.5,15000
3194.5,0
3223.5,15000
3224.5,0
3253.5,15000
3254.5,0
3283.5,15000
3284.5,0
3313.5,15000
3314.5,0
3343.5,15000
3344.5,0
3372.5,10000
3373.5,0
3402.5,10000
3403.5,0
3433.5,15000
3434.5,0
3462.5,10000
3463.5,0
3493.5,15000
3494.5,0
3523.5,15000
3524.5,0
3553.5,15000
3554.5,0
4031.5,5000
4032.5,0
4153.5,15000
4154.5,0
4183.5,15000
4184.5,0
4213.5,15000
4214.5,0
4243.5,15000
4244.5,0
4273.5,15000
4274.5,0
4303.5,15000
4304.5,0
4333.5,15000
4334.5,0
4362.5,10000
4363.5,0
4392.5,10000
4393.5,0
4423.5,15000
4424.5,0
4453.5,15000
4454.5,0
4482.5,10000
4483.5,0
4513.5,15000
4514.5,0
4543.5,15000
4544.5,0
4573.5,15000
4574.5,0
4603.5,15000
4604.5,0
4633.5,15000
4634.5,0
4663.5,15000
4664.5,0
4692.5,10000
4693.5,0
4722.5,10000
4723.5,0
4752.5,10000
4753.5,0
4783.5,15000
4784.5,0
4813.5,15000
4814.5,0
4843.5,15000
4844.5,0
4873.5,15000
4874.5,0
4903.5,15000
4904.5,0
4933.5,15000
4934.5,0
4963.5,15000
4964.5,0
4993.5,15000
4994.5,0
5023.5,15000
5024.5,0
5053.5,15000
5054.5,0
5083.5,15000
5084.5,0
5113.5,15000
5114.5,0
5143.5,15000
5144.5,0
5173.5,15000
5174.5,0
5203.5,15000
5204.5,0
5233.5,15000
5234.5,0
5263.5,15000
5264.5,0
5293.5,15000
5294.5,0
5323.5,15000
5324.5,0
5353.5,15000
5354.5,0
5383.5,15000
5384.5,0
5413.5,15000
5414.5,0
5443.5,15000
5444.5,0
5473.5,15000
5474.5,0
5503.5,15000
5504.5,0
5533.5,15000
5534.5,0
5563.5,15000
5564.5,0
5593.5,15000
5594.5,0
5623.5,15000
5624.5,0
5653.5,15000
5654.5,0
5682.5,10000
5683.5,0
5712.5,10000
5713.5,0
5742.5,10000
5743.5,0
5772.5,10000
5773.5,0
5802.5,10000
5803.5,0
5832.5,10000
5833.5,0
5863.5,15000
5864.5,0
5893.5,15000
5894.5,0
5923.5,15000
5924.5,0
5953.5,15000
5954.5,0
