time,asset2_depthofdischarge
0,0
30,0
60,0
90,0
120,0
150,0
180,0
210,0
240,0
270,0
300,0
330,0
360,0
390,0
420,0
450,0
480,0
510,0
540,0
570,0
600,0
630,0
660,0
690,0
720,0
750,0
780,0
810,0
840,0
870,0
900,0
930,0
960,0
990,0
1020,0
1050,0
1080,0
1110,0
1140,0
1170,0
1200,0
1230,0
1260,0
1290,0
1320,0
1350,0
1380,0
1410,0
1440,0
1470,0
1500,0
1530,0
1560,0
1590,0
1620,0
1650,0
1680,0
1710,0
1750,9.5E-05
1751,0.00019
1757,0.000265
1771,0.00034
1780,0.000435
1781,0.00053
1787,0.000605
1801,0.00068
1810,0.000775
1811,0.00087
1817,0.000945
1831,0.00102
1840,0.001115
1841,0.00121
1847,0.001285
1861,0.00136
1870,0.001455
1871,0.00155
1877,0.001625
1891,0.0017
1900,0.001795
1901,0.00189
1907,0.001965
1921,0.00204
1930,0.002135
1931,0.00223
1937,0.002305
1951,0.00238
1960,0.002475
1961,0.00257
1967,0.002645
1981,0.00272
1990,0.002815
1991,0.00291
1997,0.002985
2011,0.00306
2020,0.003155
2021,0.00325
2027,0.003325
2041,0.0034
2050,0.003495
2051,0.00359
2057,0.003665
2071,0.00374
2080,0.003835
2081,0.00393
2087,0.004005
2101,0.00408
2110,0.004175
2111,0.00427
2117,0.004345
2131,0.00442
2140,0.004515
2141,0.00461
2147,0.004685
2161,0.00476
2170,0.004855
2171,0.00495
2177,0.005025
2191,0.0051
2200,0.005195
2201,0.00529
2207,0.005365
2221,0.00544
2230,0.005535
2231,0.00563
2237,0.005705
2251,0.00578
2260,0.005875
2261,0.00597
2267,0.006045
2281,0.00612
2290,0.006215
2291,0.00631
2297,0.006385
2311,0.00646
2320,0.006555
2321,0.00665
2327,0.006725
2341,0.0068
2350,0.006895
2351,0.00699
2357,0.007065
2371,0.00714
2380,0.007235
2381,0.00733
2387,0.007405
2401,0.00748
2410,0.007575
2411,0.00767
2417,0.007745
2431,0.00782
2440,0.007915
2441,0.00801
2447,0.008085
2461,0.00816
